tag,problem_id,title,difficulty,diff_band,url
imos法,abc338_d,D - Island Tour,1234,1200-1599,https://atcoder.jp/contests/abc338/tasks/abc338_d
stack,abc338_e,E - Chords,1220,1200-1599,https://atcoder.jp/contests/abc338/tasks/abc338_e
ワーシャルフロイド法,abc338_f,F - Negative Traveling Salesman,1835,1600-1999,https://atcoder.jp/contests/abc338/tasks/abc338_f
bitDP,abc338_f,F - Negative Traveling Salesman,1835,1600-1999,https://atcoder.jp/contests/abc338/tasks/abc338_f
累積和,abc339_c,C - Perfect Bus,174,0-399,https://atcoder.jp/contests/abc339/tasks/abc339_c
幅優先探索,abc339_d,D - Synchronized Players,1276,1200-1599,https://atcoder.jp/contests/abc339/tasks/abc339_d
Segment-Tree,abc339_e,E - Smooth Subsequence,1109,800-1199,https://atcoder.jp/contests/abc339/tasks/abc339_e
基礎DP,abc339_e,E - Smooth Subsequence,1109,800-1199,https://atcoder.jp/contests/abc339/tasks/abc339_e
乱択アルゴリズム,abc339_f,F - Product Equality,1716,1600-1999,https://atcoder.jp/contests/abc339/tasks/abc339_f
連想配列,abc339_f,F - Product Equality,1716,1600-1999,https://atcoder.jp/contests/abc339/tasks/abc339_f
Segment-Tree,abc339_g,G - Smaller Sum,1792,1600-1999,https://atcoder.jp/contests/abc339/tasks/abc339_g
WaveletMatrix,abc339_g,G - Smaller Sum,1792,1600-1999,https://atcoder.jp/contests/abc339/tasks/abc339_g
二分探索,abc339_g,G - Smaller Sum,1792,1600-1999,https://atcoder.jp/contests/abc339/tasks/abc339_g
座標圧縮,abc339_g,G - Smaller Sum,1792,1600-1999,https://atcoder.jp/contests/abc339/tasks/abc339_g
連想配列,abc340_c,C - Divide and Divide,528,400-799,https://atcoder.jp/contests/abc340/tasks/abc340_c
基礎DP,abc340_c,C - Divide and Divide,528,400-799,https://atcoder.jp/contests/abc340/tasks/abc340_c
ダイクストラ法,abc340_d,D - Super Takahashi Bros.,784,400-799,https://atcoder.jp/contests/abc340/tasks/abc340_d
Lazy-Segment-Tree,abc340_e,E - Mancala 2,1157,800-1199,https://atcoder.jp/contests/abc340/tasks/abc340_e
Binary-Indexed-Tree,abc340_e,E - Mancala 2,1157,800-1199,https://atcoder.jp/contests/abc340/tasks/abc340_e
gcd,abc340_f,F - S = 1,1516,1200-1599,https://atcoder.jp/contests/abc340/tasks/abc340_f
シミュレーション,abc341_c,C - Takahashi Gets Lost,406,400-799,https://atcoder.jp/contests/abc341/tasks/abc341_c
二分探索,abc341_d,D - Only one of two,829,800-1199,https://atcoder.jp/contests/abc341/tasks/abc341_d
gcd,abc341_d,D - Only one of two,829,800-1199,https://atcoder.jp/contests/abc341/tasks/abc341_d
Segment-Tree,abc341_e,E - Alternating String,1223,1200-1599,https://atcoder.jp/contests/abc341/tasks/abc341_e
set,abc341_e,E - Alternating String,1223,1200-1599,https://atcoder.jp/contests/abc341/tasks/abc341_e
基礎DP,abc341_f,F - Breakdown,1604,1600-1999,https://atcoder.jp/contests/abc341/tasks/abc341_f
連想配列,abc342_d,D - Square Pair,944,800-1199,https://atcoder.jp/contests/abc342/tasks/abc342_d
priority_queue,abc342_e,E - Last Train,1476,1200-1599,https://atcoder.jp/contests/abc342/tasks/abc342_e
ダイクストラ法,abc342_e,E - Last Train,1476,1200-1599,https://atcoder.jp/contests/abc342/tasks/abc342_e
連想配列,abc343_d,D - Diversity of Scores,422,400-799,https://atcoder.jp/contests/abc343/tasks/abc343_d
包除原理,abc343_e,E - 7x7x7,1802,1600-1999,https://atcoder.jp/contests/abc343/tasks/abc343_e
シミュレーション,abc343_e,E - 7x7x7,1802,1600-1999,https://atcoder.jp/contests/abc343/tasks/abc343_e
Segment-Tree,abc343_f,F - Second Largest Query,1370,1200-1599,https://atcoder.jp/contests/abc343/tasks/abc343_f
set,abc344_c,C - A+B+C,204,0-399,https://atcoder.jp/contests/abc344/tasks/abc344_c
基礎DP,abc344_d,D - String Bags,854,800-1199,https://atcoder.jp/contests/abc344/tasks/abc344_d
連想配列,abc344_e,E - Insert or Erase,973,800-1199,https://atcoder.jp/contests/abc344/tasks/abc344_e
基礎DP,abc344_f,F - Earn to Advance,1922,1600-1999,https://atcoder.jp/contests/abc344/tasks/abc344_f
深さ優先探索,abc345_d,D - Tiling,1419,1200-1599,https://atcoder.jp/contests/abc345/tasks/abc345_d
bit全探索,abc345_d,D - Tiling,1419,1200-1599,https://atcoder.jp/contests/abc345/tasks/abc345_d
set,abc346_c,C - Σ,179,0-399,https://atcoder.jp/contests/abc346/tasks/abc346_c
基礎DP,abc346_d,D - Gomamayo Sequence,845,800-1199,https://atcoder.jp/contests/abc346/tasks/abc346_d
累積和,abc346_d,D - Gomamayo Sequence,845,800-1199,https://atcoder.jp/contests/abc346/tasks/abc346_d
連想配列,abc346_e,E - Paint,1053,800-1199,https://atcoder.jp/contests/abc346/tasks/abc346_e
二分探索,abc346_f,F - SSttrriinngg in StringString,1840,1600-1999,https://atcoder.jp/contests/abc346/tasks/abc346_f
set,abc347_b,B - Substring,81,0-399,https://atcoder.jp/contests/abc347/tasks/abc347_b
累積和,abc347_e,E - Set Add Query,1166,800-1199,https://atcoder.jp/contests/abc347/tasks/abc347_e
連想配列,abc348_c,C - Colorful Beans,156,0-399,https://atcoder.jp/contests/abc348/tasks/abc348_c
幅優先探索,abc348_d,D - Medicines on Grid,1108,800-1199,https://atcoder.jp/contests/abc348/tasks/abc348_d
全方位木DP,abc348_e,E - Minimize Sum of Distances,1347,1200-1599,https://atcoder.jp/contests/abc348/tasks/abc348_e
Segment-Tree,abc349_d,D - Divide Interval,832,800-1199,https://atcoder.jp/contests/abc349/tasks/abc349_d
深さ優先探索,abc349_e,E - Weighted Tic-Tac-Toe,1464,1200-1599,https://atcoder.jp/contests/abc349/tasks/abc349_e
ミニマックス法,abc349_e,E - Weighted Tic-Tac-Toe,1464,1200-1599,https://atcoder.jp/contests/abc349/tasks/abc349_e
Union-Find,abc350_d,D - New Friends,773,400-799,https://atcoder.jp/contests/abc350/tasks/abc350_d
幅優先探索,abc350_d,D - New Friends,773,400-799,https://atcoder.jp/contests/abc350/tasks/abc350_d
深さ優先探索,abc350_d,D - New Friends,773,400-799,https://atcoder.jp/contests/abc350/tasks/abc350_d
期待値DP,abc350_e,E - Toward 0,1385,1200-1599,https://atcoder.jp/contests/abc350/tasks/abc350_e
連想配列,abc350_e,E - Toward 0,1385,1200-1599,https://atcoder.jp/contests/abc350/tasks/abc350_e
深さ優先探索,abc350_f,F - Transpose,1601,1600-1999,https://atcoder.jp/contests/abc350/tasks/abc350_f
stack,abc351_c,C - Merge the balls,228,0-399,https://atcoder.jp/contests/abc351/tasks/abc351_c
Union-Find,abc351_d,D - Grid and Magnet,974,800-1199,https://atcoder.jp/contests/abc351/tasks/abc351_d
深さ優先探索,abc351_d,D - Grid and Magnet,974,800-1199,https://atcoder.jp/contests/abc351/tasks/abc351_d
幅優先探索,abc351_d,D - Grid and Magnet,974,800-1199,https://atcoder.jp/contests/abc351/tasks/abc351_d
Binary-Indexed-Tree,abc351_f,F - Double Sum,1253,1200-1599,https://atcoder.jp/contests/abc351/tasks/abc351_f
座標圧縮,abc351_f,F - Double Sum,1253,1200-1599,https://atcoder.jp/contests/abc351/tasks/abc351_f
set,abc352_d,D - Permutation Subsequence,714,400-799,https://atcoder.jp/contests/abc352/tasks/abc352_d
sliding-window,abc352_d,D - Permutation Subsequence,714,400-799,https://atcoder.jp/contests/abc352/tasks/abc352_d
Union-Find,abc352_e,E - Clique Connect,1030,800-1199,https://atcoder.jp/contests/abc352/tasks/abc352_e
最小全域木,abc352_e,E - Clique Connect,1030,800-1199,https://atcoder.jp/contests/abc352/tasks/abc352_e
シミュレーション,abc353_b,B - AtCoder Amusement Park,51,0-399,https://atcoder.jp/contests/abc353/tasks/abc353_b
尺取り法,abc353_c,C - Sigma Problem,795,400-799,https://atcoder.jp/contests/abc353/tasks/abc353_c
累積和,abc353_c,C - Sigma Problem,795,400-799,https://atcoder.jp/contests/abc353/tasks/abc353_c
累積和,abc353_d,D - Another Sigma Problem,844,800-1199,https://atcoder.jp/contests/abc353/tasks/abc353_d
Trie,abc353_e,E - Yet Another Sigma Problem,1217,1200-1599,https://atcoder.jp/contests/abc353/tasks/abc353_e
Union-Find,abc353_e,E - Yet Another Sigma Problem,1217,1200-1599,https://atcoder.jp/contests/abc353/tasks/abc353_e
stack,abc353_e,E - Yet Another Sigma Problem,1217,1200-1599,https://atcoder.jp/contests/abc353/tasks/abc353_e
Segment-Tree,abc353_g,G - Merchant Takahashi,1765,1600-1999,https://atcoder.jp/contests/abc353/tasks/abc353_g
set,abc353_g,G - Merchant Takahashi,1765,1600-1999,https://atcoder.jp/contests/abc353/tasks/abc353_g
基礎DP,abc353_g,G - Merchant Takahashi,1765,1600-1999,https://atcoder.jp/contests/abc353/tasks/abc353_g
シミュレーション,abc354_a,A - Exponential Plant,21,0-399,https://atcoder.jp/contests/abc354/tasks/abc354_a
座標圧縮,abc354_c,C - AtCoder Magics,441,400-799,https://atcoder.jp/contests/abc354/tasks/abc354_c
累積和,abc354_d,D - AtCoder Wallpaper,1259,1200-1599,https://atcoder.jp/contests/abc354/tasks/abc354_d
bitDP,abc354_e,E - Remove Pairs,1223,1200-1599,https://atcoder.jp/contests/abc354/tasks/abc354_e
LIS,abc354_f,F - Useless for LIS,1639,1600-1999,https://atcoder.jp/contests/abc354/tasks/abc354_f
二分探索,abc354_f,F - Useless for LIS,1639,1600-1999,https://atcoder.jp/contests/abc354/tasks/abc354_f
尺取り法,abc355_d,D - Intersecting Intervals,735,400-799,https://atcoder.jp/contests/abc355/tasks/abc355_d
二分探索,abc355_d,D - Intersecting Intervals,735,400-799,https://atcoder.jp/contests/abc355/tasks/abc355_d
Union-Find,abc355_f,F - MST Query,1924,1600-1999,https://atcoder.jp/contests/abc355/tasks/abc355_f
bit全探索,abc356_c,C - Keys,568,400-799,https://atcoder.jp/contests/abc356/tasks/abc356_c
累積和,abc356_e,E - Max/Min,1506,1200-1599,https://atcoder.jp/contests/abc356/tasks/abc356_e
シミュレーション,abc357_a,A - Sanitize Hands,19,0-399,https://atcoder.jp/contests/abc357/tasks/abc357_a
逆元,abc357_d,D - 88888888,970,800-1199,https://atcoder.jp/contests/abc357/tasks/abc357_d
深さ優先探索,abc357_e,E - Reachability in Functional Graph,1295,1200-1599,https://atcoder.jp/contests/abc357/tasks/abc357_e
強連結成分分解,abc357_e,E - Reachability in Functional Graph,1295,1200-1599,https://atcoder.jp/contests/abc357/tasks/abc357_e
Lazy-Segment-Tree,abc357_f,F - Two Sequence Queries,1793,1600-1999,https://atcoder.jp/contests/abc357/tasks/abc357_f
bit全探索,abc358_c,C - Popcorn,273,0-399,https://atcoder.jp/contests/abc358/tasks/abc358_c
multiset,abc358_d,D - Souvenirs,393,0-399,https://atcoder.jp/contests/abc358/tasks/abc358_d
尺取り法,abc358_d,D - Souvenirs,393,0-399,https://atcoder.jp/contests/abc358/tasks/abc358_d
基礎DP,abc358_e,E - Alphabet Tiles,1397,1200-1599,https://atcoder.jp/contests/abc358/tasks/abc358_e
二項係数,abc358_e,E - Alphabet Tiles,1397,1200-1599,https://atcoder.jp/contests/abc358/tasks/abc358_e
基礎DP,abc358_g,G - AtCoder Tour,1737,1600-1999,https://atcoder.jp/contests/abc358/tasks/abc358_g
ダイクストラ法,abc358_g,G - AtCoder Tour,1737,1600-1999,https://atcoder.jp/contests/abc358/tasks/abc358_g
基礎DP,abc359_d,D - Avoid K Palindrome,1381,1200-1599,https://atcoder.jp/contests/abc359/tasks/abc359_d
stack,abc359_e,E - Water Tank,1275,1200-1599,https://atcoder.jp/contests/abc359/tasks/abc359_e
priority_queue,abc359_f,F - Tree Degree Optimization,1792,1600-1999,https://atcoder.jp/contests/abc359/tasks/abc359_f
シミュレーション,abc360_b,B - Vertical Reading,78,0-399,https://atcoder.jp/contests/abc360/tasks/abc360_b
二分探索,abc360_d,D - Ghost Ants,159,0-399,https://atcoder.jp/contests/abc360/tasks/abc360_d
尺取り法,abc360_d,D - Ghost Ants,159,0-399,https://atcoder.jp/contests/abc360/tasks/abc360_d
期待値DP,abc360_e,E - Random Swaps of Balls,1249,1200-1599,https://atcoder.jp/contests/abc360/tasks/abc360_e
基礎DP,abc360_e,E - Random Swaps of Balls,1249,1200-1599,https://atcoder.jp/contests/abc360/tasks/abc360_e
LIS,abc360_g,G - Suitable Edit for LIS,1982,1600-1999,https://atcoder.jp/contests/abc360/tasks/abc360_g
基礎DP,abc360_g,G - Suitable Edit for LIS,1982,1600-1999,https://atcoder.jp/contests/abc360/tasks/abc360_g
幅優先探索,abc361_d,D - Go Stone Puzzle,1202,1200-1599,https://atcoder.jp/contests/abc361/tasks/abc361_d
連想配列,abc361_d,D - Go Stone Puzzle,1202,1200-1599,https://atcoder.jp/contests/abc361/tasks/abc361_d
深さ優先探索,abc361_e,E - Tree and Hamilton Path 2,1213,1200-1599,https://atcoder.jp/contests/abc361/tasks/abc361_e
包除原理,abc361_f,F - x = a^b,1606,1600-1999,https://atcoder.jp/contests/abc361/tasks/abc361_f
二分探索,abc361_f,F - x = a^b,1606,1600-1999,https://atcoder.jp/contests/abc361/tasks/abc361_f
ダイクストラ法,abc362_d,D - Shortest Path 3,634,400-799,https://atcoder.jp/contests/abc362/tasks/abc362_d
基礎DP,abc362_e,E - Count Arithmetic Subsequences,1225,1200-1599,https://atcoder.jp/contests/abc362/tasks/abc362_e
連想配列,abc362_e,E - Count Arithmetic Subsequences,1225,1200-1599,https://atcoder.jp/contests/abc362/tasks/abc362_e
座標圧縮,abc362_e,E - Count Arithmetic Subsequences,1225,1200-1599,https://atcoder.jp/contests/abc362/tasks/abc362_e
Suffix-Array,abc362_g,G - Count Substring Query,1625,1600-1999,https://atcoder.jp/contests/abc362/tasks/abc362_g
二分探索,abc362_g,G - Count Substring Query,1625,1600-1999,https://atcoder.jp/contests/abc362/tasks/abc362_g
シミュレーション,abc363_c,C - Avoid K Palindrome 2,602,400-799,https://atcoder.jp/contests/abc363/tasks/abc363_c
二分探索,abc363_d,D - Palindromic Number,975,800-1199,https://atcoder.jp/contests/abc363/tasks/abc363_d
priority_queue,abc363_e,E - Sinking Land,1307,1200-1599,https://atcoder.jp/contests/abc363/tasks/abc363_e
ダイクストラ法,abc363_e,E - Sinking Land,1307,1200-1599,https://atcoder.jp/contests/abc363/tasks/abc363_e
連想配列,abc363_f,F - Palindromic Expression,1913,1600-1999,https://atcoder.jp/contests/abc363/tasks/abc363_f
深さ優先探索,abc363_f,F - Palindromic Expression,1913,1600-1999,https://atcoder.jp/contests/abc363/tasks/abc363_f
シミュレーション,abc364_b,B - Grid Walk,79,0-399,https://atcoder.jp/contests/abc364/tasks/abc364_b
二分探索,abc364_d,D - K-th Nearest,1136,800-1199,https://atcoder.jp/contests/abc364/tasks/abc364_d
基礎DP,abc364_e,E - Maximum Glutton,1496,1200-1599,https://atcoder.jp/contests/abc364/tasks/abc364_e
Union-Find,abc364_f,F - Range Connect MST,1878,1600-1999,https://atcoder.jp/contests/abc364/tasks/abc364_f
set,abc364_f,F - Range Connect MST,1878,1600-1999,https://atcoder.jp/contests/abc364/tasks/abc364_f
Lazy-Segment-Tree,abc364_f,F - Range Connect MST,1878,1600-1999,https://atcoder.jp/contests/abc364/tasks/abc364_f
二分探索,abc365_c,C - Transportation Expenses,269,0-399,https://atcoder.jp/contests/abc365/tasks/abc365_c
基礎DP,abc365_d,D - AtCoder Janken 3,730,400-799,https://atcoder.jp/contests/abc365/tasks/abc365_d
累積和,abc365_e,E - Xor Sigma Problem,1102,800-1199,https://atcoder.jp/contests/abc365/tasks/abc365_e
連想配列,abc366_c,C - Balls and Bag Query,180,0-399,https://atcoder.jp/contests/abc366/tasks/abc366_c
累積和,abc366_d,D - Cuboid Sum Query,586,400-799,https://atcoder.jp/contests/abc366/tasks/abc366_d
尺取り法,abc366_e,E - Manhattan Multifocal Ellipse,1515,1200-1599,https://atcoder.jp/contests/abc366/tasks/abc366_e
基礎DP,abc366_f,F - Maximum Composition,1819,1600-1999,https://atcoder.jp/contests/abc366/tasks/abc366_f
深さ優先探索,abc367_c,C - Enumerate Sequences,234,0-399,https://atcoder.jp/contests/abc367/tasks/abc367_c
累積和,abc367_d,D - Pedometer,1037,800-1199,https://atcoder.jp/contests/abc367/tasks/abc367_d
ダブリング,abc367_e,E - Permute K times,1370,1200-1599,https://atcoder.jp/contests/abc367/tasks/abc367_e
累積和,abc367_f,F - Rearrange Query,1540,1200-1599,https://atcoder.jp/contests/abc367/tasks/abc367_f
シミュレーション,abc368_b,B - Decrease 2 max elements,56,0-399,https://atcoder.jp/contests/abc368/tasks/abc368_b
シミュレーション,abc368_c,C - Triple Attack,368,0-399,https://atcoder.jp/contests/abc368/tasks/abc368_c
木DP,abc368_d,D - Minimum Steiner Tree,816,800-1199,https://atcoder.jp/contests/abc368/tasks/abc368_d
深さ優先探索,abc368_d,D - Minimum Steiner Tree,816,800-1199,https://atcoder.jp/contests/abc368/tasks/abc368_d
Nim,abc368_f,F - Dividing Game,1180,800-1199,https://atcoder.jp/contests/abc368/tasks/abc368_f
Grundy数,abc368_f,F - Dividing Game,1180,800-1199,https://atcoder.jp/contests/abc368/tasks/abc368_f
Segment-Tree,abc368_g,G - Add and Multiply Queries,1841,1600-1999,https://atcoder.jp/contests/abc368/tasks/abc368_g
基礎DP,abc369_d,D - Bonus EXP,621,400-799,https://atcoder.jp/contests/abc369/tasks/abc369_d
ワーシャルフロイド法,abc369_e,E - Sightseeing Tour,1301,1200-1599,https://atcoder.jp/contests/abc369/tasks/abc369_e
LIS,abc369_f,F - Gather Coins,1618,1600-1999,https://atcoder.jp/contests/abc369/tasks/abc369_f
Segment-Tree,abc369_f,F - Gather Coins,1618,1600-1999,https://atcoder.jp/contests/abc369/tasks/abc369_f
座標圧縮,abc369_f,F - Gather Coins,1618,1600-1999,https://atcoder.jp/contests/abc369/tasks/abc369_f
シミュレーション,abc370_b,B - Binary Alchemy,84,0-399,https://atcoder.jp/contests/abc370/tasks/abc370_b
set,abc370_d,D - Cross Explosion,1088,800-1199,https://atcoder.jp/contests/abc370/tasks/abc370_d
二分探索,abc370_d,D - Cross Explosion,1088,800-1199,https://atcoder.jp/contests/abc370/tasks/abc370_d
基礎DP,abc370_e,E - Avoid K Partition,1453,1200-1599,https://atcoder.jp/contests/abc370/tasks/abc370_e
連想配列,abc370_e,E - Avoid K Partition,1453,1200-1599,https://atcoder.jp/contests/abc370/tasks/abc370_e
累積和,abc370_e,E - Avoid K Partition,1453,1200-1599,https://atcoder.jp/contests/abc370/tasks/abc370_e
二分探索,abc371_d,D - 1D Country,408,400-799,https://atcoder.jp/contests/abc371/tasks/abc371_d
累積和,abc371_d,D - 1D Country,408,400-799,https://atcoder.jp/contests/abc371/tasks/abc371_d
stack,abc372_d,D - Buildings,901,800-1199,https://atcoder.jp/contests/abc372/tasks/abc372_d
Union-Find,abc372_e,E - K-th Largest Connected Components,1042,800-1199,https://atcoder.jp/contests/abc372/tasks/abc372_e
インラインDP,abc372_f,F - Teleporting Takahashi 2,1722,1600-1999,https://atcoder.jp/contests/abc372/tasks/abc372_f
基礎DP,abc372_f,F - Teleporting Takahashi 2,1722,1600-1999,https://atcoder.jp/contests/abc372/tasks/abc372_f
深さ優先探索,abc373_d,D - Hidden Weights,765,400-799,https://atcoder.jp/contests/abc373/tasks/abc373_d
幅優先探索,abc373_d,D - Hidden Weights,765,400-799,https://atcoder.jp/contests/abc373/tasks/abc373_d
二分探索,abc373_e,E - How to Win the Election,1592,1200-1599,https://atcoder.jp/contests/abc373/tasks/abc373_e
累積和,abc373_e,E - How to Win the Election,1592,1200-1599,https://atcoder.jp/contests/abc373/tasks/abc373_e
bit全探索,abc374_c,C - Separated Lunch,226,0-399,https://atcoder.jp/contests/abc374/tasks/abc374_c
bitDP,abc374_d,D - Laser Marking,694,400-799,https://atcoder.jp/contests/abc374/tasks/abc374_d
二分探索,abc374_e,E - Sensor Optimization Dilemma 2,1504,1200-1599,https://atcoder.jp/contests/abc374/tasks/abc374_e
累積和,abc375_d,D - ABA,658,400-799,https://atcoder.jp/contests/abc375/tasks/abc375_d
基礎DP,abc375_e,E - 3 Team Division,1424,1200-1599,https://atcoder.jp/contests/abc375/tasks/abc375_e
ワーシャルフロイド法,abc375_f,F - Road Blocked,1546,1200-1599,https://atcoder.jp/contests/abc375/tasks/abc375_f
二分探索,abc376_c,C - Prepare Another Box,366,0-399,https://atcoder.jp/contests/abc376/tasks/abc376_c
幅優先探索,abc376_d,D - Cycle,743,400-799,https://atcoder.jp/contests/abc376/tasks/abc376_d
priority_queue,abc376_e,E - Max × Sum,1063,800-1199,https://atcoder.jp/contests/abc376/tasks/abc376_e
連想配列,abc377_c,C - Avoid Knight Attack,274,0-399,https://atcoder.jp/contests/abc377/tasks/abc377_c
尺取り法,abc377_d,D - Many Segments 2,987,800-1199,https://atcoder.jp/contests/abc377/tasks/abc377_d
ダブリング,abc377_e,E - Permute K times 2,1685,1600-1999,https://atcoder.jp/contests/abc377/tasks/abc377_e
Trie,abc377_g,G - Edit to Match,1782,1600-1999,https://atcoder.jp/contests/abc377/tasks/abc377_g
連想配列,abc378_c,C - Repeating,191,0-399,https://atcoder.jp/contests/abc378/tasks/abc378_c
深さ優先探索,abc378_d,D - Count Simple Paths,587,400-799,https://atcoder.jp/contests/abc378/tasks/abc378_d
Binary-Indexed-Tree,abc378_e,E - Mod Sigma Problem,1406,1200-1599,https://atcoder.jp/contests/abc378/tasks/abc378_e
累積和,abc378_e,E - Mod Sigma Problem,1406,1200-1599,https://atcoder.jp/contests/abc378/tasks/abc378_e
木DP,abc378_f,F - Add One Edge 2,1436,1200-1599,https://atcoder.jp/contests/abc378/tasks/abc378_f
累積和,abc379_c,C - Sowing Stones,951,800-1199,https://atcoder.jp/contests/abc379/tasks/abc379_c
queue,abc379_d,D - Home Garden,745,400-799,https://atcoder.jp/contests/abc379/tasks/abc379_d
累積和,abc379_d,D - Home Garden,745,400-799,https://atcoder.jp/contests/abc379/tasks/abc379_d
累積和,abc379_e,E - Sum of All Substrings,1246,1200-1599,https://atcoder.jp/contests/abc379/tasks/abc379_e
Segment-Tree,abc379_f,F - Buildings 2,1659,1600-1999,https://atcoder.jp/contests/abc379/tasks/abc379_f
stack,abc379_f,F - Buildings 2,1659,1600-1999,https://atcoder.jp/contests/abc379/tasks/abc379_f
二分探索,abc379_f,F - Buildings 2,1659,1600-1999,https://atcoder.jp/contests/abc379/tasks/abc379_f
分割統治,abc380_d,D - Strange Mirroring,849,800-1199,https://atcoder.jp/contests/abc380/tasks/abc380_d
Union-Find,abc380_e,E - 1D Bucket Tool,1230,1200-1599,https://atcoder.jp/contests/abc380/tasks/abc380_e
set,abc380_e,E - 1D Bucket Tool,1230,1200-1599,https://atcoder.jp/contests/abc380/tasks/abc380_e
深さ優先探索,abc380_f,F - Exchange Game,1769,1600-1999,https://atcoder.jp/contests/abc380/tasks/abc380_f
Segment-Tree,abc380_g,G - Another Shuffle Window,1995,1600-1999,https://atcoder.jp/contests/abc380/tasks/abc380_g
Binary-Indexed-Tree,abc380_g,G - Another Shuffle Window,1995,1600-1999,https://atcoder.jp/contests/abc380/tasks/abc380_g
期待値DP,abc380_g,G - Another Shuffle Window,1995,1600-1999,https://atcoder.jp/contests/abc380/tasks/abc380_g
尺取り法,abc381_d,D - 1122 Substring,921,800-1199,https://atcoder.jp/contests/abc381/tasks/abc381_d
二分探索,abc381_e,E - 11/22 Subsequence,1396,1200-1599,https://atcoder.jp/contests/abc381/tasks/abc381_e
累積和,abc381_e,E - 11/22 Subsequence,1396,1200-1599,https://atcoder.jp/contests/abc381/tasks/abc381_e
bitDP,abc381_f,F - 1122 Subsequence,1739,1600-1999,https://atcoder.jp/contests/abc381/tasks/abc381_f
二分探索,abc382_c,C - Kaiten Sushi,476,400-799,https://atcoder.jp/contests/abc382/tasks/abc382_c
深さ優先探索,abc382_d,D - Keep Distance,685,400-799,https://atcoder.jp/contests/abc382/tasks/abc382_d
基礎DP,abc382_e,E - Expansion Packs,1671,1600-1999,https://atcoder.jp/contests/abc382/tasks/abc382_e
期待値DP,abc382_e,E - Expansion Packs,1671,1600-1999,https://atcoder.jp/contests/abc382/tasks/abc382_e
Lazy-Segment-Tree,abc382_f,F - Falling Bars,1443,1200-1599,https://atcoder.jp/contests/abc382/tasks/abc382_f
シミュレーション,abc383_a,A - Humidifier 1,19,0-399,https://atcoder.jp/contests/abc383/tasks/abc383_a
幅優先探索,abc383_c,C - Humidifier 3,750,400-799,https://atcoder.jp/contests/abc383/tasks/abc383_c
尺取り法,abc383_d,D - 9 Divisors,884,800-1199,https://atcoder.jp/contests/abc383/tasks/abc383_d
Union-Find,abc383_e,E - Sum of Max Matching,1616,1600-1999,https://atcoder.jp/contests/abc383/tasks/abc383_e
基礎DP,abc383_f,F - Diversity,1706,1600-1999,https://atcoder.jp/contests/abc383/tasks/abc383_f
bit全探索,abc384_c,C - Perfect Standings,187,0-399,https://atcoder.jp/contests/abc384/tasks/abc384_c
set,abc384_d,D - Repeated Sequence,666,400-799,https://atcoder.jp/contests/abc384/tasks/abc384_d
尺取り法,abc384_d,D - Repeated Sequence,666,400-799,https://atcoder.jp/contests/abc384/tasks/abc384_d
累積和,abc384_d,D - Repeated Sequence,666,400-799,https://atcoder.jp/contests/abc384/tasks/abc384_d
priority_queue,abc384_e,E - Takahashi is Slime 2,1002,800-1199,https://atcoder.jp/contests/abc384/tasks/abc384_e
分割統治,abc384_f,F - Double Sum 2,1908,1600-1999,https://atcoder.jp/contests/abc384/tasks/abc384_f
シミュレーション,abc385_b,B - Santa Claus 1,77,0-399,https://atcoder.jp/contests/abc385/tasks/abc385_b
基礎DP,abc385_c,C - Illuminate Buildings,446,400-799,https://atcoder.jp/contests/abc385/tasks/abc385_c
set,abc385_d,D - Santa Claus 2,1171,800-1199,https://atcoder.jp/contests/abc385/tasks/abc385_d
連想配列,abc385_d,D - Santa Claus 2,1171,800-1199,https://atcoder.jp/contests/abc385/tasks/abc385_d
シミュレーション,abc386_b,B - Calculator,42,0-399,https://atcoder.jp/contests/abc386/tasks/abc386_b
座標圧縮,abc386_d,D - Diagonal Separation,996,800-1199,https://atcoder.jp/contests/abc386/tasks/abc386_d
bit全探索,abc386_e,E -  Maximize XOR,1518,1200-1599,https://atcoder.jp/contests/abc386/tasks/abc386_e
深さ優先探索,abc386_e,E -  Maximize XOR,1518,1200-1599,https://atcoder.jp/contests/abc386/tasks/abc386_e
基礎DP,abc386_f,F - Operate K,1875,1600-1999,https://atcoder.jp/contests/abc386/tasks/abc386_f
Suffix-Array,abc386_f,F - Operate K,1875,1600-1999,https://atcoder.jp/contests/abc386/tasks/abc386_f
桁DP,abc387_c,C - Snake Numbers,1249,1200-1599,https://atcoder.jp/contests/abc387/tasks/abc387_c
幅優先探索,abc387_d,D - Snaky Walk,817,800-1199,https://atcoder.jp/contests/abc387/tasks/abc387_d
木DP,abc387_f,F - Count Arrays,1760,1600-1999,https://atcoder.jp/contests/abc387/tasks/abc387_f
累積和,abc387_f,F - Count Arrays,1760,1600-1999,https://atcoder.jp/contests/abc387/tasks/abc387_f
二分探索,abc388_c,C - Various Kagamimochi,211,0-399,https://atcoder.jp/contests/abc388/tasks/abc388_c
尺取り法,abc388_c,C - Various Kagamimochi,211,0-399,https://atcoder.jp/contests/abc388/tasks/abc388_c
imos法,abc388_d,D - Coming of Age Celebration,659,400-799,https://atcoder.jp/contests/abc388/tasks/abc388_d
二分探索,abc388_e,E - Simultaneous Kagamimochi,1068,800-1199,https://atcoder.jp/contests/abc388/tasks/abc388_e
